grid_point, analysis_value, analysis_increment
[23, 7],5700.417971451227,20.266152641744156
[23, 8],5716.852429086261,13.431110673076546
[23, 9],5736.201988251945,12.385978062825416
[23, 10],5754.223679837895,12.17902848225458
[23, 11],5771.08714787267,9.940646493677377
[23, 12],5793.141415525511,10.19566642562404
[23, 13],5814.8953139453515,10.532196777125137
[23, 14],5828.475875485711,7.770962279592823
[23, 15],5844.301413682433,12.382065330896694
[23, 16],5858.226131461743,17.999377027281298
[23, 17],5869.9746215572895,23.034849074661906
[23, 18],5879.399929645466,27.0289603567644
[23, 19],5875.57077211778,19.0418628687421
[23, 20],5875.370567230324,15.88500845494218
[23, 21],5874.984396638182,13.725404119988525
[24, 0],5375.151197537258,-66.13442286527061
[24, 1],5463.449957450643,-28.047283794568102
[24, 2],5523.21841345557,-13.851025993795702
[24, 3],5569.361271703113,-6.04619109939631
[24, 4],5608.653860835294,2.132181476226833
[24, 5],5638.962745872032,6.980208821040833
[24, 6],5668.6645693087585,12.982774781806256
[24, 7],5695.66245343938,14.457645459880041
[24, 8],5722.088329188987,14.759245557002032
[24, 9],5745.518811625217,15.467093261748232
[24, 10],5762.45714798609,13.323896820998925
[24, 11],5781.726095688525,14.056679047620491
[24, 12],5800.602761800962,12.42213165478097
[24, 13],5817.7396681018745,8.717357228686524
[24, 14],5830.589621175881,4.731090999458502
[24, 15],5846.463799653351,8.608325203093955
[24, 16],5859.168791052317,12.16637425605677
[24, 17],5871.623005909628,16.848613062262302
[24, 18],5881.327230010518,19.831889552088796
[24, 19],5876.688253266354,9.746493045297939
[24, 20],5878.425860347701,7.4649477384027705
[24, 21],5869.668133313129,-4.011113867766653
[25, 0],5404.927981890781,-50.8901926594217
[25, 1],5474.4908201783965,-24.9184577732276
[25, 2],5536.21370705536,-3.069872352993116
[25, 3],5575.231943744144,1.0515149590310102
[25, 4],5607.2899408842195,3.30630303950511
[25, 5],5634.849065966116,5.481971665045421
[25, 6],5664.554427513329,10.89792008602035
[25, 7],5690.494845720456,9.693601541282078
[25, 8],5721.658979042821,12.04245868183716
[25, 9],5750.912819962097,16.313433286333748
[25, 10],5771.774039182168,17.30310603743601
[25, 11],5790.146683393372,17.63267351439663
[25, 12],5807.488375723859,15.456195137146096
[25, 13],5822.092731514288,9.505606821021502
[25, 14],5830.151120178756,-0.05884211380544002
[25, 15],5841.821398200457,-1.573409224295574
[25, 16],5857.8911595198215,4.292595786580932
[25, 17],5871.435595731637,9.533479338325378
[25, 18],5872.556068763363,4.193047409607061
[25, 19],5873.92628546049,1.0320935942800133
[25, 20],5874.012085905307,-1.7563296631315097
[25, 21],5873.828678408563,-3.647459183439423
[26, 0],5435.463371877908,-31.729631549857004
[26, 1],5493.022996521982,-8.36711503967399
[26, 2],5537.452695954364,2.108640814816681
[26, 3],5573.09706163724,4.47952315884686
[26, 4],5603.388390325077,4.306531811508648
[26, 5],5629.48194166424,3.9182502615522026
[26, 6],5655.522026794813,4.6506144875002065
[26, 7],5685.537149380309,5.9617458051152425
[26, 8],5719.742066276116,8.879517541286077
[26, 9],5749.474329834573,11.538323357742229
[26, 10],5777.81601967128,19.345696337077243
[26, 11],5794.184734224894,18.10979631884493
[26, 12],5810.435152574725,15.37094761152639
[26, 13],5825.372143001468,9.182248568466093
[26, 14],5839.0861236059445,3.6321533423533765
[26, 15],5852.882409940363,2.7398015373973976
[26, 16],5867.768996125685,6.966562442971735
[26, 17],5879.054096672041,10.752500468234757
[26, 18],5880.192978189766,6.991425509438159
[26, 19],5879.365056166816,3.215266398060521
[26, 20],5877.566236618006,-0.25936480455948185
[26, 21],5875.980413938952,-2.776234887870487
[27, 0],5465.461897931815,-10.1197985572162
[27, 1],5509.1355442635495,9.270064296525561
[27, 2],5530.754292604716,3.586620606037286
[27, 3],5565.431694758768,6.376292556084991
[27, 4],5600.417656111427,8.752050894488093
[27, 5],5631.536276517201,11.073478899371366
[27, 6],5648.117763535514,1.2793713436894905
[27, 7],5678.831734508853,2.676047381874014
[27, 8],5719.608323706498,10.493386447088596
[27, 9],5747.078704263544,8.510511521762055
[27, 10],5777.664305524074,17.165605933647385
[27, 11],5795.583000277223,17.247251111928563
[27, 12],5810.5461079967345,12.745035550986358
[27, 13],5829.322908749962,8.212108136765892
[27, 14],5853.185936822126,10.220749405678362
[27, 15],5865.727721483603,7.382150252515203
[27, 16],5877.453057524652,9.697785044569173
[27, 17],5887.478144429865,14.260921648061412
[27, 18],5886.3502666909,10.076987560721136
[27, 19],5883.128245683125,5.18951575675419
[27, 20],5879.510765723102,0.6710619771465645
[27, 21],5876.687238450473,-2.6456715802733015
grid_point, analysis_value, analysis_increment
[0, 0],5317.355892112554,-0.8275221015574061
[0, 1],5340.468918362435,5.530408360272304
[0, 2],5365.502021572591,12.470535923124771
[0, 3],5395.303999330619,20.2605218548797
[0, 4],5423.372425807082,26.094774524329296
[0, 5],5450.195106464746,33.19616512225093
[0, 6],5472.054365583969,37.29775437162607
[0, 7],5488.997273043593,39.05147859411318
[0, 8],5499.235273013223,37.86149228193972
[0, 9],5497.243669590565,27.03354493943698
[0, 10],5504.040265172683,24.74733870156797
[0, 11],5516.671573791332,26.278219501782587
[0, 12],5535.706057433491,31.710039054866684
[0, 13],5573.7818446402,52.81830947965864
[0, 14],5602.86386695577,61.79525069375177
[0, 15],5627.10375110741,66.36718153530546
[0, 16],5643.41359837861,66.0175230168752
[0, 17],5658.564750759916,65.60991427237332
[0, 18],5669.637128983683,60.359287265844614
[0, 19],5685.498564819404,62.11333553479744
[0, 20],5687.11957696977,55.018520158553656
[0, 21],5682.771070270255,46.41289971422066
[1, 0],5294.428536326225,-10.540366172757786
[1, 1],5312.245524247974,-10.397648848236713
[1, 2],5339.812506722317,-0.5495437931140259
[1, 3],5364.350129088688,3.059558113568528
[1, 4],5391.797334013826,8.05827875230807
[1, 5],5420.4776642529805,15.469998624073014
[1, 6],5445.7083541480915,21.04067644544375
[1, 7],5466.235180659099,24.26039469042189
[1, 8],5482.0906565922205,26.887708469139397
[1, 9],5488.393844749628,23.62103825712711
[1, 10],5494.453971526011,20.956374073880397
[1, 11],5509.6536079489915,26.21233533931172
[1, 12],5524.908287403458,29.628617723577918
[1, 13],5553.3361111534105,43.42725054654329
[1, 14],5579.675012814186,51.991652072154466
[1, 15],5603.641358243048,56.89084809536689
[1, 16],5624.679715484083,58.80514726374531
[1, 17],5647.387929486975,61.031182723083475
[1, 18],5669.275195860819,62.373420206237824
[1, 19],5682.771309407547,60.431915642720014
[1, 20],5687.220487555209,56.12979264290698
[1, 21],5684.903325483873,49.51565278821454
[2, 0],5276.605328878675,-14.16130566720949
[2, 1],5283.547547020522,-23.054461899045236
[2, 2],5304.445778408016,-18.276733455989415
[2, 3],5328.4375758124725,-14.276194364620096
[2, 4],5355.324792972539,-10.600553055514865
[2, 5],5385.278275514914,-3.408200029013642
[2, 6],5412.810503981805,3.2312851432097887
[2, 7],5435.1929223636125,6.83731486546003
[2, 8],5451.866206433588,8.943280554712146
[2, 9],5463.441758981563,10.715223951127882
[2, 10],5470.164495518939,9.539399073622008
[2, 11],5480.177246691818,11.151593310498356
[2, 12],5495.531088210643,16.76274747957632
[2, 13],5519.095364119837,28.21986220329927
[2, 14],5541.152097097183,34.78546100355197
[2, 15],5563.590146663375,38.44847956582362
[2, 16],5590.0348140262,42.496177104492745
[2, 17],5618.6977735852315,44.81864166035848
[2, 18],5647.581732699598,48.39916625912974
[2, 19],5667.808771323692,50.74792104643075
[2, 20],5677.963773413692,50.73684651451458
[2, 21],5680.133441868604,47.64920178892953
[3, 0],5247.719994854667,-31.031866477714175
[3, 1],5259.677367253711,-31.07073908800612
[3, 2],5274.401090900477,-30.284817341217604
[3, 3],5299.198152722023,-25.018757767931675
[3, 4],5330.905747272284,-17.44631713564104
[3, 5],5362.1580306077885,-9.56034144824207
[3, 6],5391.407728298225,-0.4867751248939385
[3, 7],5406.088236138392,-3.726177248047861
[3, 8],5416.265845519294,-7.743552291357446
[3, 9],5429.464265142281,-3.7667000906631074
[3, 10],5432.7729224138375,-7.265427508059474
[3, 11],5440.0928440518155,-6.831409340186838
[3, 12],5453.781943129255,-1.1439807084834683
[3, 13],5470.963804083616,5.755697081922335
[3, 14],5493.59214428963,14.423402523440018
[3, 15],5512.455801738746,14.416293135167507
[3, 16],5540.00739080117,16.477467499303202
[3, 17],5574.849794032903,19.97049313107982
[3, 18],5611.663731605452,27.065364471523026
[3, 19],5640.1169323001195,34.19375644254251
[3, 20],5664.581013662694,45.83253050079384
[3, 21],5679.050387833902,53.284465184277906
[4, 0],5250.1371664890175,-15.330318158981754
[4, 1],5241.351350153656,-32.615561494744725
[4, 2],5256.189024260942,-30.175432479039046
[4, 3],5282.360591180046,-24.263482841858604
[4, 4],5317.221732298965,-15.834738023932005
[4, 5],5351.091059572618,-6.65288696429252
[4, 6],5373.049801647295,-3.866725584121923
[4, 7],5385.0963726598175,-7.867566265018468
[4, 8],5396.949763526489,-8.881213330158062
[4, 9],5398.287949938737,-15.811760352236888
[4, 10],5399.178997335856,-20.624126000789147
[4, 11],5403.159740358455,-22.328764725029032
[4, 12],5409.67493049793,-22.717946634109467
[4, 13],5423.089715371071,-18.355512352393816
[4, 14],5445.265625505823,-8.756715508516209
[4, 15],5458.89445660391,-13.433671709894952
[4, 16],5484.53714421201,-14.296866475206116
[4, 17],5522.160204764597,-9.674351398442013
[4, 18],5563.635589509327,0.1342321169713614
[4, 19],5605.582837488616,18.032255058185
[4, 20],5644.913826364123,41.811817932028134
[4, 21],5638.355977828495,26.360707326501142
[5, 0],5211.702884939811,-37.21082717800982
[5, 1],5224.820895725217,-32.06277783803034
[5, 2],5240.59578643517,-28.440467275636365
[5, 3],5268.817433658077,-22.09011498035852
[5, 4],5307.837100857824,-13.341721220072031
[5, 5],5345.2161883736235,-4.02137198541368
[5, 6],5368.773104611508,-0.9306904691475211
[5, 7],5378.94439212432,-7.0003943220363
[5, 8],5385.594505099804,-12.897948360862756
[5, 9],5387.797564965752,-18.21991529929437
[5, 10],5388.200653798217,-22.422194100536217
[5, 11],5389.513880537704,-25.57687628784788
[5, 12],5395.318878562183,-25.358944714940662
[5, 13],5406.70988713915,-21.185864373410368
[5, 14],5425.882938434481,-12.23497255548773
[5, 15],5432.6068646291515,-21.676978317027533
[5, 16],5446.322046945996,-32.839481429014995
[5, 17],5477.7944793267925,-32.518273251555
[5, 18],5525.018556067886,-15.51195269175696
[5, 19],5567.066854056992,2.471503211131676
[5, 20],5611.307186592957,30.262354098863398
[5, 21],5617.891250092538,27.129546100609332
[6, 0],5197.010318488595,-37.48807136616597
[6, 1],5214.970910724964,-29.389125440473435
[6, 2],5231.811426213801,-25.665731453333137
[6, 3],5261.50084764497,-19.758594188531788
[6, 4],5303.706977247208,-11.59121280224008
[6, 5],5344.589594253218,-2.849951681877428
[6, 6],5372.634451308834,1.3136693663873302
[6, 7],5385.610242563774,-4.405255910781307
[6, 8],5393.4891882018,-9.792809943278371
[6, 9],5395.744607761782,-14.761287435070699
[6, 10],5397.572326977113,-16.891782626869826
[6, 11],5399.084984340775,-18.679164820439837
[6, 12],5402.400788603746,-18.937473053640133
[6, 13],5408.532129551411,-17.18634887069402
[6, 14],5414.826652667081,-17.745210143841177
[6, 15],5418.382864957326,-26.87539576704421
[6, 16],5432.954455070236,-34.05331196541374
[6, 17],5453.699589230161,-41.692611828487316
[6, 18],5503.901766888976,-19.297082829656574
[6, 19],5561.01720651698,15.415345744785554
[6, 20],5602.090948216213,40.87075394921976
[6, 21],5628.298598082912,57.531515594777375
[7, 0],5190.687415128613,-36.438227071040274
[7, 1],5212.194441372187,-27.03289348195176
[7, 2],5230.384868670993,-25.120123919577054
[7, 3],5265.189681688519,-17.695965643290947
[7, 4],5308.816002940743,-10.635540665004555
[7, 5],5347.370102338662,-6.004649695093576
[7, 6],5377.733176414144,-2.620888161323819
[7, 7],5398.390362415285,-3.5470979694800917
[7, 8],5408.205322757021,-7.893343813617321
[7, 9],5411.702395269397,-11.836557228266429
[7, 10],5417.008612134959,-10.605843098745027
[7, 11],5423.339754445465,-6.685089931896073
[7, 12],5419.799098677804,-11.310339478692185
[7, 13],5421.535930571775,-10.462766717681006
[7, 14],5421.082342309167,-13.804379177022383
[7, 15],5418.743491620936,-24.396597605962597
[7, 16],5429.017834243801,-31.729693524227514
[7, 17],5446.868831511284,-39.796814210540106
[7, 18],5497.769578240362,-15.429696962984963
[7, 19],5548.655427859627,14.143135505829378
[7, 20],5590.488746749998,41.21495462459188
[7, 21],5617.96554570757,59.34217566916959
[8, 0],5194.142644255068,-32.64885512382534
[8, 1],5213.627069618373,-27.676227575017037
[8, 2],5239.148405045235,-24.582644857674495
[8, 3],5277.929275600187,-18.93957030666843
[8, 4],5320.387959214681,-12.969230767322188
[8, 5],5356.894972089643,-7.806996835056452
[8, 6],5386.92070586694,-5.903719942386488
[8, 7],5409.66733710703,-7.906789401225069
[8, 8],5424.800231465761,-8.788211315083572
[8, 9],5432.242900990494,-9.740129180314398
[8, 10],5436.135789610948,-10.179615756990643
[8, 11],5438.833967561732,-8.65507134643849
[8, 12],5439.344548992473,-6.402841041490319
[8, 13],5431.4913976472635,-11.570633047437695
[8, 14],5426.860501584451,-15.117230095624109
[8, 15],5430.092035295159,-15.253707512962137
[8, 16],5419.865876097448,-37.62495581139501
[8, 17],5437.253537848822,-42.59260660880955
[8, 18],5480.434864009223,-24.90649056973416
[8, 19],5533.249940901886,6.828023305840361
[8, 20],5573.599499418183,32.4827290081912
[8, 21],5601.204941090981,50.17727557510625
[9, 0],5203.573267641643,-26.844908454564575
[9, 1],5222.399015155997,-24.20536184561206
[9, 2],5252.623904664527,-20.74024574743362
[9, 3],5293.018380296545,-16.95147769698542
[9, 4],5333.167686099524,-12.17535792752733
[9, 5],5368.223015749167,-6.534169488016232
[9, 6],5396.8168444424355,-8.253797896648393
[9, 7],5424.646309076402,-10.34308404400872
[9, 8],5445.151106829242,-9.279405189802674
[9, 9],5454.575335330646,-9.110431017109477
[9, 10],5454.8548043024675,-12.23143475748202
[9, 11],5455.118449264636,-10.912894942894127
[9, 12],5447.683724417109,-13.786277209610489
[9, 13],5434.658172615196,-21.231630287150438
[9, 14],5424.865340058832,-26.86242240640422
[9, 15],5417.030358063906,-33.932898372850104
[9, 16],5414.684673858063,-42.55709020835366
[9, 17],5424.007594832911,-50.059784704346384
[9, 18],5469.541622073451,-27.582661082893537
[9, 19],5511.609174372955,-6.54349994893164
[9, 20],5546.755436429036,12.93410471403513
[9, 21],5572.935106319934,26.98429027039947
[10, 0],5214.337926688718,-20.24380378220758
[10, 1],5231.264799442415,-19.33892396550982
[10, 2],5260.954846320121,-15.786004438326017
[10, 3],5301.61831478408,-12.30192225448991
[10, 4],5341.719811567234,-10.210299669345659
[10, 5],5377.160494757133,-8.118711943860944
[10, 6],5411.8746487246635,-8.958556930247141
[10, 7],5449.157573575001,-6.701077525787696
[10, 8],5476.160450295852,-1.1480715974194027
[10, 9],5480.206256795833,-5.474404938289808
[10, 10],5476.518404037614,-10.396647885299899
[10, 11],5472.4929233609655,-11.106994567361653
[10, 12],5455.145928288219,-22.099035560183438
[10, 13],5440.2567422042,-29.9562263738444
[10, 14],5433.762633746456,-30.80650202367906
[10, 15],5432.274016780616,-29.264717191302225
[10, 16],5411.5509581470005,-51.98016971940069
[10, 17],5413.327663359413,-61.27240519276347
[10, 18],5446.064993602767,-47.98773471666209
[10, 19],5492.0128691692025,-23.15445273272144
[10, 20],5530.098879946649,-3.3860390889785776
[10, 21],5542.189230075179,-8.467987733631162
[11, 0],5210.521094774507,-26.95837640091304
[11, 1],5236.946447607986,-16.408241984218876
[11, 2],5268.777262291503,-10.325505336496462
[11, 3],5311.007448222826,-7.8727241067945215
[11, 4],5355.924467185074,-8.135612416410368
[11, 5],5396.686179773289,-8.61587127308485
[11, 6],5438.082065116024,-7.216419122873958
[11, 7],5473.19674721693,-7.01086552452125
[11, 8],5494.505181543707,-5.2969523256324464
[11, 9],5507.939406285314,1.6651162640564507
[11, 10],5502.0093993492355,-4.024200950058912
[11, 11],5493.2853333466055,-8.835009201225148
[11, 12],5481.584234647607,-14.40741664093457
[11, 13],5468.517141658809,-20.917201771672808
[11, 14],5456.909246054313,-27.20200184643909
[11, 15],5457.22980418768,-23.64687103668075
[11, 16],5405.0572601744325,-76.03466484401815
[11, 17],5409.351618623469,-79.08510612463033
[11, 18],5443.851733478963,-61.55648566828859
[11, 19],5488.8278104688625,-39.552120065754025
[11, 20],5535.17294895258,-17.048788356084515
[11, 21],5578.099816979889,1.3278255025225008
[12, 0],5188.583348526557,-48.19688745485655
[12, 1],5225.67558070187,-30.47156002666452
[12, 2],5280.775147568028,-7.250105893510408
[12, 3],5330.4915121342065,-6.681702012080677
[12, 4],5384.3558233357035,-6.730491768146749
[12, 5],5428.006697320115,-7.916957398235354
[12, 6],5465.1454008220235,-8.05790972901832
[12, 7],5495.7777383434595,-7.086377407674263
[12, 8],5515.355315011199,-4.801039553086412
[12, 9],5533.6346986637955,6.767135798192612
[12, 10],5530.098416424388,2.1080885950705124
[12, 11],5524.93931681841,-1.433124770910581
[12, 12],5516.236016741758,-6.806713088158176
[12, 13],5509.916002861979,-9.000540918406841
[12, 14],5503.311655059982,-11.924552347133613
[12, 15],5469.208871827439,-43.63122160451803
[12, 16],5448.5514993879315,-64.10285802264752
[12, 17],5438.454391482068,-79.65526180812685
[12, 18],5462.7089343440575,-71.43222058206084
[12, 19],5514.342982604969,-45.73323222608815
[12, 20],5568.6919748157625,-20.73233438295847
[12, 21],5618.783832115952,0.5755509346117833
[13, 0],5162.914148374753,-66.07086690691267
[13, 1],5209.170235490118,-49.93510917207186
[13, 2],5275.272426538663,-32.53176746778445
[13, 3],5366.55983049902,-3.9730561482019766
[13, 4],5420.475730857166,-4.452868107729046
[13, 5],5456.792034500178,-6.303229542111694
[13, 6],5482.429657536052,-11.084708904191757
[13, 7],5510.5514461928415,-9.203909279393883
[13, 8],5534.658141269682,-4.026656342884053
[13, 9],5554.08268573283,4.335137319244495
[13, 10],5559.8344382997475,3.949901711480379
[13, 11],5558.024498881836,-1.3026780264190165
[13, 12],5552.283944567368,-8.196333055368996
[13, 13],5559.531891796849,-0.012748326897963125
[13, 14],5561.608533778158,4.06119420894629
[13, 15],5531.313062136595,-24.38310416360764
[13, 16],5494.840970665427,-60.502136963567864
[13, 17],5483.964680261646,-75.874461781832
[13, 18],5504.841141046802,-69.98360840532132
[13, 19],5554.453285656992,-46.91175771919188
[13, 20],5613.149729950498,-18.789619140528885
[13, 21],5649.245425958142,-10.757447705967024
[14, 0],5126.411273268902,-94.39213884768105
[14, 1],5198.326445737886,-65.54306013693349
[14, 2],5288.44000776265,-44.36109419033255
[14, 3],5399.622539524047,-2.9779703807707847
[14, 4],5445.598017208396,-3.014115162079179
[14, 5],5474.584305488878,-4.181530471963015
[14, 6],5496.638602588312,-9.677687654037982
[14, 7],5527.166447651085,-6.916875300436004
[14, 8],5552.418043796269,-5.50696228761899
[14, 9],5579.7887692695995,4.319118026126489
[14, 10],5592.439952680535,4.6160376879852265
[14, 11],5596.350503093864,0.19627220816073532
[14, 12],5599.048620613792,-1.7428232025868056
[14, 13],5610.430892621887,8.000063981086896
[14, 14],5613.7684278315755,11.436880051346634
[14, 15],5589.773918487109,-12.151249545280734
[14, 16],5555.4693437949145,-47.46528959474199
[14, 17],5550.370519699849,-57.75364096888916
[14, 18],5573.4954515125,-48.45544897825039
[14, 19],5621.1462094445715,-25.09746736283978
[14, 20],5670.215580771637,-4.334654784234772
[14, 21],5709.760946836442,9.731581885286687
[15, 0],5134.013166060859,-92.82856628073569
[15, 1],5198.15864441399,-79.09225472692015
[15, 2],5289.658024325513,-62.8943245578339
[15, 3],5392.187202737197,-27.088472915493185
[15, 4],5456.6638518495865,-2.8862072034280573
[15, 5],5481.793033949442,-7.117913500674149
[15, 6],5504.376400474035,-15.723251693275415
[15, 7],5535.809950941706,-16.804250736643553
[15, 8],5565.874736500502,-14.810702479224346
[15, 9],5600.765818730968,-1.4224375159838019
[15, 10],5619.878612873123,2.018864978075726
[15, 11],5631.987654587706,3.5498968696210795
[15, 12],5643.993132387956,8.91526039776727
[15, 13],5657.241480746188,17.654316764263967
[15, 14],5653.742674725761,10.513486160636603
[15, 15],5632.354649502939,-14.35070417305269
[15, 16],5620.570992547386,-30.56044434234991
[15, 17],5632.384401526622,-26.00484924318789
[15, 18],5642.452820328707,-28.94425814870101
[15, 19],5683.38940558764,-8.734148480892145
[15, 20],5742.088137106404,25.660273562102702
[15, 21],5769.733314194779,31.375521337957252
[16, 0],5164.714495403353,-81.69822003375248
[16, 1],5244.714080988145,-54.95277474623617
[16, 2],5320.280399520245,-47.97114871233043
[16, 3],5397.917565077326,-28.71566033392628
[16, 4],5461.4942890932025,-5.334829793996505
[16, 5],5492.0463230672985,-11.147620455285505
[16, 6],5524.13514337538,-18.5777639052003
[16, 7],5553.49293776793,-25.030245342336457
[16, 8],5581.10225902599,-24.711579534816337
[16, 9],5615.554476902801,-10.827892255759252
[16, 10],5646.144422558123,4.096086225697036
[16, 11],5656.767445578854,3.1965267423111072
[16, 12],5684.242957759588,21.57641829885779
[16, 13],5681.073792611248,9.639804258911681
[16, 14],5701.25518039199,20.9805376847371
[16, 15],5683.247961384067,-5.23907969269203
[16, 16],5688.991622823611,-7.304497964808434
[16, 17],5697.549577179362,-7.528865824696368
[16, 18],5712.052112114502,-4.850199652977608
[16, 19],5755.541720484223,22.008320738505063
[16, 20],5797.992904691157,45.16361155788036
[16, 21],5822.832156815942,52.6483575376451
[17, 0],5211.422135447442,-60.20534793773368
[17, 1],5292.340655494097,-31.30240954467081
[17, 2],5357.898854084689,-25.14072473491069
[17, 3],5432.445979831184,-3.5183558872704452
[17, 4],5471.473415372361,-9.597042537393463
[17, 5],5511.744216637678,-16.062277365293085
[17, 6],5550.684396558143,-22.383757796377722
[17, 7],5571.446230649355,-34.7085668287491
[17, 8],5597.154037505878,-31.259973988525417
[17, 9],5625.872984544363,-19.94625624809123
[17, 10],5655.703671892072,-4.905116488758722
[17, 11],5682.892874997288,9.465174202019625
[17, 12],5695.283444144693,9.237785007348066
[17, 13],5708.946139871354,9.234907397240931
[17, 14],5724.489687788128,11.44605123032943
[17, 15],5744.272509406414,19.942862500327465
[17, 16],5758.177499247674,24.373058017520634
[17, 17],5756.341521235745,13.53955807273087
[17, 18],5764.738800952378,11.904102370968758
[17, 19],5774.7181874670705,9.50102761494145
[17, 20],5830.141201516808,50.927904632455466
[17, 21],5853.619147482694,61.71350151366096
[18, 0],5264.076386002351,-32.61435824272394
[18, 1],5341.53760271075,-3.5323537229205613
[18, 2],5398.009086091705,-1.3197529421295258
[18, 3],5446.526839467221,-7.745080903971029
[18, 4],5492.188596113957,-15.475839278626154
[18, 5],5535.410150108605,-24.08762681625558
[18, 6],5571.851829734188,-29.57512712622156
[18, 7],5596.994175075682,-31.51780227897507
[18, 8],5622.892027945554,-23.77677707996827
[18, 9],5650.423373279151,-11.530692455488861
[18, 10],5668.526646626649,-7.857492515922786
[18, 11],5700.078973444692,9.15529017143217
[18, 12],5714.866096519864,7.688491953836092
[18, 13],5732.318881309506,7.654882452877246
[18, 14],5751.235433741877,11.047434751149922
[18, 15],5771.917600159518,19.624689077866606
[18, 16],5785.185117473387,23.14960070818688
[18, 17],5798.843805445501,28.207262848863138
[18, 18],5806.467532776279,27.59791478938314
[18, 19],5824.284329717264,36.869447908837174
[18, 20],5844.393921447116,47.959185449082725
[18, 21],5863.101894312842,58.13540814706994
[19, 0],5296.41619372799,-25.596237881102752
[19, 1],5366.630302070345,-1.3469599916124935
[19, 2],5410.596061830573,-12.926769652753137
[19, 3],5473.5854418210565,-12.053928336616082
[19, 4],5523.173530171814,-20.14841505485856
[19, 5],5563.000337290213,-26.848833894914605
[19, 6],5591.669289796266,-31.516712355655727
[19, 7],5621.604301026793,-24.046687482871675
[19, 8],5647.462696617139,-14.953419596273307
[19, 9],5672.018983218097,-5.260440265804391
[19, 10],5698.951809137607,6.907247709170406
[19, 11],5719.1240903894695,10.686361578881588
[19, 12],5736.39291127673,8.702107535376854
[19, 13],5756.204293528369,8.996903978856608
[19, 14],5776.075956250008,13.206464356620927
[19, 15],5797.671930837685,23.234377687200322
[19, 16],5816.2450248742525,32.482854692818364
[19, 17],5822.4497329455635,30.73014987931765
[19, 18],5828.513951858672,30.153070809451492
[19, 19],5833.536075682812,29.714611989769764
[19, 20],5849.449600691757,40.89465293769899
[19, 21],5863.792746769506,50.616595856669846
[20, 0],5304.696914793169,-46.336444618196765
[20, 1],5375.8022008833495,-22.55119113081946
[20, 2],5427.786766249308,-30.51959582734071
[20, 3],5505.812386406899,-17.492285940113106
[20, 4],5548.347605295587,-27.4135465222771
[20, 5],5581.901717279348,-30.497883908615222
[20, 6],5613.478831457224,-25.342060100569142
[20, 7],5641.7494725447805,-17.57591988117656
[20, 8],5669.791741485728,-6.6767121320108345
[20, 9],5696.6688977976455,4.697610313197401
[20, 10],5717.181128659193,9.601155870477669
[20, 11],5737.639065271461,11.860165910249634
[20, 12],5759.174225624253,11.785180605359528
[20, 13],5778.281525752202,10.313821469711002
[20, 14],5792.9060175512695,9.751584630428624
[20, 15],5817.369518201264,23.511825378848698
[20, 16],5833.251194871989,30.901470594270904
[20, 17],5843.51756820567,34.23909123187423
[20, 18],5847.137544275009,32.76827139425495
[20, 19],5847.418540094375,29.881111475533544
[20, 20],5847.001556679132,27.8984723954145
[20, 21],5867.5510878575715,47.472146841032554
[21, 0],5318.447226062493,-61.87515173392785
[21, 1],5388.761342034906,-42.41477514818871
[21, 2],5459.810339003171,-31.90705361475102
[21, 3],5518.006884607274,-33.16541374467397
[21, 4],5567.959999781471,-27.467251944121926
[21, 5],5609.985649493041,-15.645551793598315
[21, 6],5639.656565786493,-9.437348678356102
[21, 7],5668.43979730051,-1.2791328334751597
[21, 8],5687.095578889197,-1.101375865031514
[21, 9],5711.9311956444735,7.079628814209173
[21, 10],5731.9012632260965,10.512652274336688
[21, 11],5753.541874268435,12.77395666827124
[21, 12],5775.7890178625485,12.006884283036925
[21, 13],5795.388207029705,10.18888804172093
[21, 14],5810.116429124645,9.676710156631088
[21, 15],5831.193654192193,20.404919184070422
[21, 16],5843.668008158593,25.068136438225338
[21, 17],5855.5424341348435,31.01626267037682
[21, 18],5856.361669004855,28.00183313555135
[21, 19],5853.407409751393,23.315534407458472
[21, 20],5851.7672515867025,21.834968422445854
[21, 21],5867.990464090271,39.640304726201066
[22, 0],5325.1095756391405,-79.22421172227041
[22, 1],5405.5155500803185,-52.03927306950936
[22, 2],5474.766436888061,-39.52587255537219
[22, 3],5542.68259296886,-22.936610824378477
[22, 4],5586.198234777413,-17.82497031962339
[22, 5],5630.466557039059,-1.1673044898770968
[22, 6],5661.088046986631,6.449770747678485
[22, 7],5687.906030166686,11.315591765558565
[22, 8],5702.604100179304,5.435488651716696
[22, 9],5725.007916083782,9.551106765625264
[22, 10],5741.352732565388,8.506827042747318
[22, 11],5764.837066071599,12.434422786544019
[22, 12],5786.195016006215,10.863803230237863
[22, 13],5808.214815235041,11.136966343972745
[22, 14],5822.611661473518,9.756973761714107
[22, 15],5838.300214713359,14.808233364969055
[22, 16],5854.37758584462,23.07080681181924
[22, 17],5864.485371020601,27.312126276448907
[22, 18],5864.485962785363,23.436854881813815
[22, 19],5862.48299509232,19.53608998263735
[22, 20],5858.009343798507,14.940222549591454
[22, 21],5856.264378632966,14.848169112088726
[23, 0],5346.799376111025,-77.25393499031543
[23, 1],5436.917330942639,-40.37597321924659
[23, 2],5503.201088685342,-25.430940404944522
[23, 3],5562.213173463506,-10.411591000662156
